"cell","arm","estimate","truth","n_run","n_used","bias","bias_mcse","rel_bias","rmse","coverage","coverage_mcse","width","delta","top_factor","R","cv_control","disp"
"p2","measured","ErC50",5.0532895646328,100,100,-0.0281781819626632,0.0128073409932946,-0.557620567795639,0.130509694227114,0.97,0.017058722109232,0.590223711342162,4,2,3.3,0.0669719164461943,"none"
"p3","beta","ErC50",5.05328956463279,100,100,-0.223574692344454,0.00980294943683964,-4.42433962045673,0.243924838844632,0.92,0.0271293199325011,0.761856516058557,4,2,17,0.0282221160540261,"none"
"p3","censored","ErC50",5.05328956463279,100,100,-0.0032843225652659,0.00814321134233022,-0.0649937535393256,0.0810904678759003,0.99,0.0099498743710662,0.357367652007088,4,2,17,0.0282221160540261,"none"
"p3","deleted","ErC50",5.05328956463279,100,100,-0.010269273196621,0.00958978184240742,-0.203219567477274,0.0959681490636272,0.99,0.0099498743710662,0.394077248384613,4,2,17,0.0282221160540261,"none"
"p3","floored","ErC50",5.05328956463279,100,100,-0.112394260445407,0.0069566075943805,-2.22418009116353,0.131998160267736,0.66,0.047370877129308,0.303980549510977,4,2,17,0.0282221160540261,"none"
"p3","gamma","ErC50",5.05328956463279,100,100,0.028973902360331,0.0101014943603863,0.573367150046476,0.104601461084273,0.95,0.0217944947177034,0.477815288311325,4,2,17,0.0282221160540261,"none"
"p3","measured","ErC50",5.05328956463279,100,100,-0.0112549512209927,0.00570623744244165,-0.222725238224313,0.0578811485389648,0.92,0.0271293199325011,0.21199671584921,4,2,17,0.0282221160540261,"none"
"p4","beta","ErC50",5.0532895646328,100,100,-0.290748872901879,0.00520849375849123,-5.75365549872278,0.295331372207061,0.52,0.0499599839871872,0.558300773692514,4,2,73,0.0186365299331132,"none"
"p4","censored","ErC50",5.0532895646328,100,100,-0.0115096895592508,0.00601910211551671,-0.227766278026206,0.0609852637214524,0.99,0.0099498743710662,0.269276347121893,4,2,73,0.0186365299331132,"none"
"p4","deleted","ErC50",5.0532895646328,100,100,-0.00240574823507522,0.00758838954879673,-0.0476075673935783,0.0755418398177793,0.99,0.0099498743710662,0.300468589138553,4,2,73,0.0186365299331132,"none"
"p4","floored","ErC50",5.0532895646328,100,100,-0.11829784094587,0.00381423169403613,-2.34100657468392,0.124236335870862,0.24,0.0427083130081252,0.198149228414053,4,2,73,0.0186365299331132,"none"
"p4","gamma","ErC50",5.0532895646328,100,100,0.00839408684529275,0.00867656023839738,0.166111336742736,0.0867378104026705,0.96,0.0195959179422654,0.287822055572731,4,2,73,0.0186365299331132,"none"
"p4","measured","ErC50",5.0532895646328,100,100,-0.00856948832788706,0.00308020859001451,-0.169582372398835,0.0318232138704392,0.97,0.017058722109232,0.134644668136158,4,2,73,0.0186365299331132,"none"
"ctl","beta","NSEC",1.3,100,100,-0.0917606313710209,0.0262538322460481,-7.05851010546314,0.276870223249753,1,0,1.88387273456914,4,1,2.3,0.096,"none"
"ctl","censored","NSEC",1.3,100,100,0.0132356058695151,0.0352130342510953,1.01812352842424,0.350615175938585,0.99,0.0099498743710662,1.71947472954449,4,1,2.3,0.096,"none"
"ctl","deleted","NSEC",1.3,100,100,0.00891642003671334,0.0363073679003518,0.685878464362564,0.361363769583461,0.99,0.0099498743710662,1.70823512426064,4,1,2.3,0.096,"none"
"ctl","floored","NSEC",1.3,100,100,0.000575238660332822,0.0349537286501569,0.0442491277179094,0.347785684593037,0.99,0.0099498743710662,1.71039297228873,4,1,2.3,0.096,"none"
"ctl","gamma","NSEC",1.3,100,100,1.15903095013667,0.0690507976892877,89.1562269335897,1.34736260778822,0.98,0.014,4.55224080880416,4,1,2.3,0.096,"none"
"ctl","measured","NSEC",1.3,100,100,0.00873582214103252,0.0347683938922946,0.671986318540963,0.346051433691012,0.99,0.0099498743710662,1.71787447789316,4,1,2.3,0.096,"none"
"d2","beta","NSEC",1.3,100,100,0.246154670408149,0.0349555728868155,18.9349746467807,0.426097919817084,1,0,2.29702392947584,2,2,2.3,0.096,"none"
"d2","censored","NSEC",1.3,100,100,0.0522667276062134,0.0465148941053192,4.02051750817026,0.465759286331404,1,0,2.16166026657537,2,2,2.3,0.096,"none"
"d2","deleted","NSEC",1.3,100,100,0.112927151189941,0.0441605231782848,8.6867039376878,0.453671213993658,1,0,2.18541727954385,2,2,2.3,0.096,"none"
"d2","floored","NSEC",1.3,100,100,-0.0474860016658267,0.0396140459936118,-3.65276935890975,0.397004926559636,0.98,0.014,2.14659162050449,2,2,2.3,0.096,"none"
"d2","gamma","NSEC",1.3,100,100,1.21467928807508,0.135865459360495,93.4368683134674,1.81739611932984,0.93,0.0255147016443461,6.59888525795522,2,2,2.3,0.096,"none"
"d2","measured","NSEC",1.3,100,100,-0.0114615859980209,0.049785023222835,-0.881660461386226,0.495487308763922,1,0,2.11923462184696,2,2,2.3,0.096,"none"
"d8","beta","NSEC",1.3,100,100,-0.0521872910108434,0.0309200641368877,-4.01440700083411,0.312045669093077,0.98,0.014,1.58338838276785,8,2,2.3,0.096,"none"
"d8","censored","NSEC",1.3,100,100,0.0457649547691239,0.0249106947561261,3.52038113608645,0.252047931344568,0.99,0.0099498743710662,1.30863442336028,8,2,2.3,0.096,"none"
"d8","deleted","NSEC",1.3,100,100,0.0381948488447859,0.0221268698099072,2.93806529575276,0.223448170431422,1,0,1.28334733893482,8,2,2.3,0.096,"none"
"d8","floored","NSEC",1.3,100,100,-0.093720268386092,0.0263245123846448,-7.20925141431477,0.278187893307749,1,0,1.36456596935413,8,2,2.3,0.096,"none"
"d8","gamma","NSEC",1.3,100,100,-0.0913145632919952,0.0493988030438576,-7.02419717630732,0.49992227590259,0.84,0.0366606055596467,2.8169541647099,8,2,2.3,0.096,"none"
"d8","measured","NSEC",1.3,100,100,0.101958170650818,0.0186700827212254,7.84293620390909,0.211905864608283,0.98,0.014,1.25816072829121,8,2,2.3,0.096,"none"
"p1","beta","NSEC",1.3,100,100,-0.0186168986850803,0.0352008660073185,-1.43206912962156,0.350738627350202,0.99,0.0099498743710662,1.88162783048974,4,2,2.3,0.096,"none"
"p1","censored","NSEC",1.3,100,100,-0.00843825951006849,0.0426645247669428,-0.649096885389884,0.424590520276746,0.99,0.0099498743710662,1.74499153001753,4,2,2.3,0.096,"none"
"p1","deleted","NSEC",1.3,100,100,-0.00698712155292003,0.0359324889536793,-0.537470888686156,0.357592019410134,0.99,0.0099498743710662,1.72094883924625,4,2,2.3,0.096,"none"
"p1","floored","NSEC",1.3,100,100,-0.154299526465047,0.0339526567663813,-11.8691943434651,0.371394468342505,0.96,0.0195959179422654,1.69795509363533,4,2,2.3,0.096,"none"
"p1","gamma","NSEC",1.3,100,100,0.324797614048601,0.0836559942858921,24.9844318498924,0.893491859340545,0.94,0.0237486841740758,4.18358793647028,4,2,2.3,0.096,"none"
"p1","measured","NSEC",1.3,100,100,0.0451682850695381,0.0440008145650437,3.47448346688754,0.440126425623901,0.99,0.0099498743710662,1.77349033694315,4,2,2.3,0.096,"none"
"p2","beta","NSEC",1.3,100,100,-0.206330855506102,0.0310220412554884,-15.8716042697002,0.371277200021689,0.89,0.031288975694324,1.61032889900017,4,2,3.3,0.0669719164461943,"none"
"p2","censored","NSEC",1.3,100,100,0.0699685122586042,0.026683338341457,5.38219325066186,0.274560825077258,0.98,0.014,1.44772653849869,4,2,3.3,0.0669719164461943,"none"
"p2","deleted","NSEC",1.3,100,100,-0.0147181020949867,0.0256925718358369,-1.13216169961436,0.256061201738379,1,0,1.48123682857182,4,2,3.3,0.0669719164461943,"none"
"p2","floored","NSEC",1.3,100,100,-0.348310176367295,0.0243456006835401,-26.7930904897919,0.424261827121664,0.86,0.0346987031457949,1.48748558876168,4,2,3.3,0.0669719164461943,"none"
"p2","gamma","NSEC",1.3,100,100,-0.170212216876995,0.0565156748932795,-13.0932474520765,0.587520491668014,0.74,0.0438634243989226,3.28604321547486,4,2,3.3,0.0669719164461943,"none"
"p2","measured","NSEC",1.3,100,100,0.140921662739463,0.0233501953145603,10.8401279030356,0.271729360818514,0.97,0.017058722109232,1.38664078764238,4,2,3.3,0.0669719164461943,"none"
